T,TM,Tm,H,PP,VV,V,VM,PM_2_5
22.3,29.9,18.7,70,0,6,3,9.4,203.58333333333334
22.8,28.9,17.7,59,0,5.3,3.1,5.4,60.2
21.8,28.9,17.7,59,0,6.3,7,9.4,97.85714285714286
21.6,28.5,16,67,0,6.3,3.1,11.1,349.2916666666667
22.2,27.7,17.7,63,0,6.9,2.8,7.6,188.04166666666666
22.7,28.4,18.1,65,0,6.3,3.9,5.4,310.25
23.4,29.1,18.4,62,0,6,5.7,9.4,258.1578947368421
23.8,30.2,17.7,56,0,5.5,6.1,9.4,223.25
24,31.4,19,63,0,6.3,5.4,7.6,248.95833333333334
20.9,25.8,16.6,51,0,6.6,3.9,11.1,0.0
20.3,27.6,14,42,0,7.1,4.4,9.4,276.4
19.9,28.1,12.4,45,0,6.9,4.8,7.6,146.79166666666666
20.2,27.6,13.1,41,0,6.8,4.8,7.6,113.875
20.8,28.6,14.7,55,0,6,4.3,5.4,227.0
21.3,29.3,15.2,44,0,6.3,4.6,7.6,231.25
21.3,29.6,13.2,40,0,6.3,3.5,3.5,272.125
21.5,28.8,14.3,47,0,6,3.9,7.6,228.79166666666666
20.7,30.3,14.5,53,0,6,3.9,5.4,200.875
21.2,29.3,12.3,34,0,6.9,4.8,9.4,214.04166666666666
21.8,29,14.3,39,0,6.3,3.9,5.4,217.25
21.3,30.3,13.7,39,0,6.3,5.2,11.1,212.45833333333334
21.3,28.6,14.8,44,0,6.9,4.1,5.4,202.66666666666666
23.3,30.2,17.2,54,0,6.3,4.6,9.4,138.79166666666666
23.3,30,18.8,63,0,6,4.6,9.4,153.08333333333334
23.2,30.2,19,65,0,5.5,1.5,5.4,159.70833333333334
21.7,29.4,16.4,54,0,6.3,5.9,9.4,151.875
21.4,28.2,15.7,55,0,6.3,4.8,7.6,224.79166666666666
22.4,27.8,16.3,57,0,6.3,5.2,7.6,185.34782608695653
22.9,29.6,16.6,59,0,6.9,4.8,9.4,149.625
24.4,31.1,18.3,55,0,6.9,3.3,5.4,161.16666666666666
26.4,31.8,20.4,51,0,6.3,3,5.4,136.75
23.7,32.6,20.2,73,57.91,6.3,3,9.4,76.375
23.1,29,17.3,52,0,6.8,4.3,5.4,120.20833333333333
24.6,30.4,17.2,51,0,7.7,5.7,11.1,137.125
25.2,31.6,19,56,0,6.3,4.8,7.6,197.08333333333334
26.8,34,22,56,0,6.3,4.8,7.6,166.375
25.4,32.8,20.5,53,0,6.9,5.7,7.6,126.58333333333333
25.1,32.1,18.2,42,0,6.3,7.2,11.1,94.91666666666667
26.6,34.6,17.2,25,0,6.3,5.4,11.1,133.95833333333334
26.2,35.5,20.8,46,0,5.5,4.6,7.6,69.25
26.3,34.5,21.3,51,0,6.9,5,9.4,82.73913043478261
